sem_1,creds_gen_sem_1,creds_hm_sem_1,sem_2,creds_gen_sem_2,creds_hm_sem_2,sem_3,creds_gen_sem_3,creds_hm_sem_3,sem_4,creds_gen_sem_4,creds_hm_sem_4
Analisis numerico;Analisis real;Cornerstone;Fisica;Procesamiento señales;Redes del pc;Seminario de grado,0,0,Abstracta;Analisis estadistico;Ecuaciones diferenciales;Keystone;Topologia,0,0,Electiva general;Geometria computacional;IA;Modelacion sis. dinamicos;Opcion de grado 1;Vision por pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Analisis estadistico;Analisis real;Cornerstone;Electiva general;Keystone;Procesamiento señales,3,0,Abstracta;Analisis numerico;Ecuaciones diferenciales;Fisica;Seminario de grado;Topologia,0,0,Geometria computacional;IA;Modelacion sis. dinamicos;Opcion de grado 1;Redes del pc;Vision por pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Analisis estadistico;Analisis numerico;Cornerstone;Ecuaciones diferenciales;Fisica;Redes del pc,0,0,Abstracta;Analisis real;Geometria computacional;Keystone;Modelacion sis. dinamicos;Seminario de grado,0,0,Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Topologia,3,0,Analisis avanzado datos;Big data;Computacion en nube;IA;Machine learning;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis estadistico;Analisis numerico;Analisis real;Geometria computacional;IA,0,0,Cornerstone;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado;Topologia,0,0,Electiva general;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Cornerstone;Fisica;IA;Keystone;Machine learning;Procesamiento señales,0,0,Analisis estadistico;Analisis numerico;Analisis real;Ecuaciones diferenciales;Geometria computacional;Seminario de grado,0,0,Electiva general;Modelacion sis. dinamicos;Opcion de grado 1;Redes del pc;Topologia;Vision por pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Analisis estadistico;Analisis real;Geometria computacional;Keystone;Procesamiento señales;Seminario de grado,0,0,Abstracta;Cornerstone;Ecuaciones diferenciales;Fisica;Topologia,0,0,Analisis numerico;Electiva general;IA;Modelacion sis. dinamicos;Opcion de grado 1;Redes del pc;Vision por pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Analisis numerico;Cornerstone;Electiva general;Fisica;Geometria computacional;IA;Seminario de grado,3,0,Abstracta;Analisis estadistico;Analisis real;Ecuaciones diferenciales;Keystone,0,0,Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis estadistico;Cornerstone;Geometria computacional;Procesamiento señales;Seminario de grado,0,0,Analisis real;Ecuaciones diferenciales;Fisica;Keystone;Opcion de grado 1,0,0,Analisis numerico;Electiva general;Modelacion sis. dinamicos;Opcion de grado 2;Redes del pc;Topologia,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;IA;Machine learning;Modelacion sis. naturales;NLP;Vision por pc,0,0
Abstracta;Ecuaciones diferenciales;Electiva general;IA;Keystone;Procesamiento señales,3,0,Analisis estadistico;Analisis real;Cornerstone;Fisica;Modelacion sis. dinamicos;Seminario de grado,0,0,Analisis numerico;Geometria computacional;Modelacion sis. naturales;Opcion de grado 1;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Cornerstone;Fisica;Keystone;Machine learning;Seminario de grado,0,0,Analisis estadistico;Analisis numerico;Analisis real;Ecuaciones diferenciales;Geometria computacional,0,0,Electiva general;IA;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis real;Electiva general;Geometria computacional;Keystone;Machine learning;Procesamiento señales,3,0,Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Fisica;Seminario de grado;Topologia,0,0,Abstracta;Analisis numerico;IA;Modelacion sis. dinamicos;Opcion de grado 1;Redes del pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Ecuaciones diferenciales;Electiva general;Geometria computacional;Keystone;Redes del pc;Seminario de grado,3,0,Abstracta;Analisis estadistico;Analisis real;Cornerstone;Fisica,0,0,Analisis numerico;IA;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis estadistico;Analisis numerico;Analisis real;Fisica;Keystone;Seminario de grado,0,0,Abstracta;Cornerstone;Ecuaciones diferenciales;Geometria computacional;Topologia,0,0,Electiva general;IA;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis numerico;Analisis real;Cornerstone;Ecuaciones diferenciales;Fisica;Machine learning;Seminario de grado,0,0,Abstracta;Analisis estadistico;Keystone;Modelacion sis. dinamicos;Topologia,0,0,Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc,0,0,Analisis avanzado datos;Big data;Computacion en nube;Electiva general;IA;NLP;Opcion de grado 2;Vision por pc,3,0
Abstracta;Analisis estadistico;Fisica;Geometria computacional;Keystone;Seminario de grado,0,0,Analisis numerico;Analisis real;Cornerstone;Ecuaciones diferenciales;Opcion de grado 1,0,0,Electiva general;Modelacion sis. dinamicos;Opcion de grado 2;Procesamiento señales;Redes del pc;Topologia,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;IA;Machine learning;Modelacion sis. naturales;NLP;Vision por pc,0,0
Analisis numerico;Analisis real;Cornerstone;Ecuaciones diferenciales;IA;Keystone,0,0,Abstracta;Analisis estadistico;Fisica;Modelacion sis. dinamicos;Seminario de grado;Topologia,0,0,Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc,0,0,Analisis avanzado datos;Big data;Computacion en nube;Electiva general;Machine learning;NLP;Opcion de grado 2;Vision por pc,3,0
Abstracta;Ecuaciones diferenciales;Electiva general;Fisica;Geometria computacional;Seminario de grado,3,0,Analisis estadistico;Analisis real;Cornerstone;Keystone;Opcion de grado 1,0,0,Analisis numerico;Modelacion sis. dinamicos;Opcion de grado 2;Procesamiento señales;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;IA;Machine learning;Modelacion sis. naturales;NLP;Vision por pc,0,0
Analisis estadistico;Analisis real;Electiva general;Fisica;Machine learning;Procesamiento señales,3,0,Abstracta;Cornerstone;Ecuaciones diferenciales;Keystone;Seminario de grado;Topologia,0,0,Analisis numerico;Geometria computacional;IA;Modelacion sis. dinamicos;Opcion de grado 1;Redes del pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis real;Electiva general;Geometria computacional;IA;Procesamiento señales;Redes del pc,3,0,Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Abstracta;Analisis numerico;Modelacion sis. dinamicos;Opcion de grado 1;Topologia;Vision por pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Electiva general;Geometria computacional;Keystone,3,0,Abstracta;Analisis numerico;Analisis real;Fisica;Modelacion sis. dinamicos;Seminario de grado,0,0,Capstone;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Computacion en nube;IA;Machine learning;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Keystone;Machine learning,0,0,Analisis numerico;Analisis real;Fisica;Geometria computacional;Modelacion sis. dinamicos;Seminario de grado,0,0,Capstone;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Computacion en nube;Electiva general;IA;NLP;Opcion de grado 2;Vision por pc,3,0
Abstracta;Cornerstone;Ecuaciones diferenciales;Geometria computacional;Procesamiento señales;Redes del pc,0,0,Analisis estadistico;Analisis real;Fisica;Keystone;Modelacion sis. dinamicos;Seminario de grado,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 1;Topologia,3,0,Analisis avanzado datos;Big data;Computacion en nube;IA;Machine learning;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis numerico;Cornerstone;Electiva general;Fisica;IA;Seminario de grado,3,0,Analisis estadistico;Analisis real;Ecuaciones diferenciales;Geometria computacional;Keystone,0,0,Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis estadistico;Analisis numerico;Cornerstone;Fisica;IA;Procesamiento señales;Seminario de grado,0,0,Abstracta;Analisis real;Ecuaciones diferenciales;Geometria computacional;Keystone,0,0,Electiva general;Modelacion sis. dinamicos;Opcion de grado 1;Redes del pc;Topologia;Vision por pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Abstracta;Analisis real;Electiva general;Fisica;IA;Keystone,3,0,Analisis estadistico;Analisis numerico;Cornerstone;Ecuaciones diferenciales;Seminario de grado;Topologia,0,0,Geometria computacional;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis real;Electiva general;IA;Keystone;Seminario de grado,3,0,Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Fisica;Geometria computacional,0,0,Analisis numerico;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis estadistico;Analisis real;Ecuaciones diferenciales;Geometria computacional;Machine learning,0,0,Cornerstone;Fisica;Keystone;Modelacion sis. dinamicos;Seminario de grado;Topologia,0,0,Analisis numerico;Capstone;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc,0,0,Analisis avanzado datos;Big data;Computacion en nube;Electiva general;IA;NLP;Opcion de grado 2;Vision por pc,3,0
Abstracta;Analisis numerico;Cornerstone;Fisica;IA;Machine learning;Procesamiento señales,0,0,Analisis estadistico;Analisis real;Ecuaciones diferenciales;Geometria computacional;Keystone;Seminario de grado,0,0,Electiva general;Modelacion sis. dinamicos;Opcion de grado 1;Redes del pc;Topologia;Vision por pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Abstracta;Analisis real;Cornerstone;Fisica;Geometria computacional;IA,0,0,Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Keystone;Seminario de grado;Topologia,0,0,Electiva general;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis real;Cornerstone;Geometria computacional;Redes del pc,0,0,Analisis estadistico;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado;Topologia,0,0,Analisis numerico;Electiva general;IA;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis real;Cornerstone;Keystone;Machine learning;Redes del pc,0,0,Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Fisica;Seminario de grado;Topologia,0,0,Electiva general;Geometria computacional;IA;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis estadistico;Analisis numerico;Cornerstone;Geometria computacional;Machine learning;Redes del pc,0,0,Abstracta;Analisis real;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Electiva general;IA;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Topologia,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Cornerstone;Electiva general;Geometria computacional;Procesamiento señales;Seminario de grado,3,0,Analisis estadistico;Analisis real;Ecuaciones diferenciales;Fisica;Opcion de grado 1,0,0,Analisis numerico;Keystone;Modelacion sis. dinamicos;Opcion de grado 2;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;IA;Machine learning;Modelacion sis. naturales;NLP;Vision por pc,0,0
Analisis estadistico;Analisis numerico;Analisis real;Ecuaciones diferenciales;Electiva general;Seminario de grado,3,0,Abstracta;Cornerstone;Fisica;Keystone;Topologia,0,0,Geometria computacional;IA;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis numerico;Cornerstone;Fisica;Geometria computacional;Machine learning;Redes del pc;Seminario de grado,0,0,Abstracta;Analisis estadistico;Analisis real;Ecuaciones diferenciales;Keystone,0,0,Electiva general;IA;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Topologia,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis numerico;Ecuaciones diferenciales;Geometria computacional;IA;Machine learning,0,0,Analisis estadistico;Analisis real;Cornerstone;Fisica;Keystone;Seminario de grado,0,0,Electiva general;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis estadistico;Analisis numerico;Analisis real;Ecuaciones diferenciales;IA;Machine learning,0,0,Abstracta;Cornerstone;Fisica;Keystone;Seminario de grado;Topologia,0,0,Electiva general;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis numerico;Fisica;Geometria computacional;Machine learning;Seminario de grado,0,0,Analisis estadistico;Analisis real;Cornerstone;Ecuaciones diferenciales;Opcion de grado 1,0,0,IA;Keystone;Modelacion sis. dinamicos;Opcion de grado 2;Procesamiento señales;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Electiva general;Modelacion sis. naturales;NLP;Vision por pc,3,0
Abstracta;Analisis real;Cornerstone;Ecuaciones diferenciales;Geometria computacional,0,0,Analisis estadistico;Fisica;Keystone;Modelacion sis. dinamicos;Seminario de grado;Topologia,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc,3,0,Analisis avanzado datos;Big data;Computacion en nube;IA;Machine learning;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Cornerstone;Electiva general;IA;Keystone;Redes del pc,3,0,Analisis estadistico;Analisis numerico;Analisis real;Ecuaciones diferenciales;Fisica;Seminario de grado,0,0,Geometria computacional;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis real;Cornerstone;Fisica;IA;Keystone;Procesamiento señales,0,0,Abstracta;Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Seminario de grado;Topologia,0,0,Electiva general;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1;Redes del pc;Vision por pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Analisis estadistico;Ecuaciones diferenciales;Electiva general;Keystone;Machine learning;Procesamiento señales,3,0,Abstracta;Analisis real;Cornerstone;Fisica;Modelacion sis. dinamicos;Seminario de grado,0,0,Analisis numerico;Geometria computacional;Modelacion sis. naturales;Opcion de grado 1;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;IA;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis estadistico;Analisis numerico;Cornerstone;Ecuaciones diferenciales;Electiva general;Seminario de grado,3,0,Abstracta;Analisis real;Fisica;Keystone;Modelacion sis. dinamicos,0,0,Geometria computacional;IA;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis real;Cornerstone;Fisica;IA;Keystone;Machine learning,0,0,Abstracta;Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Seminario de grado;Topologia,0,0,Electiva general;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis real;Cornerstone;Geometria computacional;Keystone;Machine learning,0,0,Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Fisica;Seminario de grado;Topologia,0,0,Electiva general;IA;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;IA;Keystone,3,0,Abstracta;Analisis estadistico;Fisica;Modelacion sis. dinamicos;Seminario de grado;Topologia,0,0,Analisis numerico;Geometria computacional;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis numerico;Analisis real;IA;Machine learning;Redes del pc,0,0,Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Electiva general;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Topologia,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Keystone;Seminario de grado,0,0,Analisis real;Cornerstone;Fisica;Geometria computacional;Modelacion sis. dinamicos,0,0,Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,3,0,Analisis avanzado datos;Big data;Computacion en nube;IA;Machine learning;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis numerico;Analisis real;Electiva general;Geometria computacional;Keystone,3,0,Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Fisica;Seminario de grado;Topologia,0,0,Abstracta;IA;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis real;Cornerstone;Electiva general;Keystone;Machine learning,3,0,Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Fisica;Seminario de grado;Topologia,0,0,Geometria computacional;IA;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis estadistico;Analisis numerico;IA;Keystone;Redes del pc,0,0,Analisis real;Cornerstone;Ecuaciones diferenciales;Fisica;Geometria computacional;Seminario de grado,0,0,Electiva general;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Topologia,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Redes del pc;Seminario de grado,0,0,Analisis real;Cornerstone;Fisica;Geometria computacional;Keystone,0,0,Electiva general;IA;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Topologia,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis numerico;Cornerstone;Electiva general;Fisica;Keystone;Machine learning;Redes del pc,3,0,Abstracta;Analisis estadistico;Analisis real;Ecuaciones diferenciales;Geometria computacional;Seminario de grado,0,0,Analisis avanzado datos;IA;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Topologia,0,0,Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;Keystone;Seminario de grado,3,0,Abstracta;Analisis estadistico;Fisica;Modelacion sis. dinamicos;Topologia,0,0,Analisis numerico;Geometria computacional;IA;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis real;Cornerstone;Electiva general;IA;Keystone;Redes del pc,3,0,Abstracta;Analisis estadistico;Ecuaciones diferenciales;Fisica;Seminario de grado;Topologia,0,0,Analisis numerico;Geometria computacional;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis real;Cornerstone;Fisica;Geometria computacional;Keystone;Seminario de grado,0,0,Abstracta;Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Topologia,0,0,Electiva general;IA;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis numerico;Analisis real;Cornerstone;Fisica;Keystone;Machine learning;Redes del pc,0,0,Abstracta;Analisis estadistico;Ecuaciones diferenciales;Geometria computacional;Seminario de grado;Topologia,0,0,Analisis avanzado datos;Electiva general;IA;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales,3,0,Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis numerico;Cornerstone;Ecuaciones diferenciales;Electiva general;Fisica;IA;Redes del pc,3,0,Abstracta;Analisis estadistico;Analisis real;Keystone;Modelacion sis. dinamicos;Seminario de grado,0,0,Capstone;Geometria computacional;Opcion de grado 1;Procesamiento señales;Topologia,0,0,Analisis avanzado datos;Big data;Computacion en nube;Machine learning;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis numerico;Cornerstone;Fisica;IA;Keystone,0,0,Analisis estadistico;Analisis real;Ecuaciones diferenciales;Electiva general;Geometria computacional;Seminario de grado,3,0,Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Analisis estadistico;Analisis numerico;Analisis real;Electiva general;Fisica;Geometria computacional,3,0,Abstracta;Cornerstone;Ecuaciones diferenciales;Keystone;Seminario de grado;Topologia,0,0,Analisis avanzado datos;IA;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,0,0,Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
Abstracta;Analisis real;Cornerstone;Electiva general;Geometria computacional;Procesamiento señales,3,0,Analisis estadistico;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado;Topologia,0,0,Analisis numerico;IA;Modelacion sis. dinamicos;Opcion de grado 1;Redes del pc;Vision por pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Analisis estadistico;Cornerstone;Electiva general;Fisica;Procesamiento señales;Redes del pc;Seminario de grado,3,0,Abstracta;Analisis numerico;Analisis real;Ecuaciones diferenciales;Keystone,0,0,Geometria computacional;IA;Modelacion sis. dinamicos;Opcion de grado 1;Topologia;Vision por pc,0,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Abstracta;Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Fisica;Machine learning,0,0,Analisis real;Cornerstone;Geometria computacional;Keystone;Modelacion sis. dinamicos;Seminario de grado,0,0,Capstone;Modelacion sis. naturales;Opcion de grado 1;Procesamiento señales;Redes del pc;Topologia,0,0,Analisis avanzado datos;Big data;Computacion en nube;Electiva general;IA;NLP;Opcion de grado 2;Vision por pc,3,0
Abstracta;Analisis numerico;Analisis real;Geometria computacional;IA;Procesamiento señales,0,0,Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Electiva general;Modelacion sis. dinamicos;Opcion de grado 1;Redes del pc;Topologia;Vision por pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Machine learning;Modelacion sis. naturales;NLP;Opcion de grado 2,0,0
Analisis estadistico;Analisis real;Cornerstone;Geometria computacional;Keystone,0,0,Abstracta;Analisis numerico;Ecuaciones diferenciales;Fisica;Seminario de grado;Topologia,0,0,Electiva general;IA;Machine learning;Modelacion sis. dinamicos;Opcion de grado 1;Procesamiento señales;Redes del pc,3,0,Analisis avanzado datos;Big data;Capstone;Computacion en nube;Modelacion sis. naturales;NLP;Opcion de grado 2;Vision por pc,0,0
